benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
bixbench,bixbench/bix-8-q3,bix-8-q3,0.41953644331713236,0.5804635566828676,28,medium,0.6285714285714287,0.6285714285714287,0.3238795442501324
bixbench,bixbench/bix-6-q5,bix-6-q5,0.41953644331713236,0.5804635566828676,28,frontier,0.0357142857142857,0.0357142857142857,0.0765986092483115
financeagent,financeagent/financeagent-37,financeagent-37,0.42036106025443204,0.5796389397455679,13,frontier,0.0214285714285714,0.0461538461538461,0.1151279195930443
humanevalfix,humanevalfix/python-142,python-142,0.42314800995861995,0.57685199004138,28,medium,0.4142857142857142,0.4142857142857142,0.4273792943329026
crustbench,crustbench/crustbench-c-blind-rsa-signatures,crustbench-c-blind-rsa-signatures,0.4249074381701492,0.5750925618298508,23,saturated,0.9571428571428572,0.9478260869565218,0.1347124642159101
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,0.42759654449126094,0.5724034555087391,26,medium,0.49940475,0.5022435769230769,0.2395526089895612
replicationbench,replicationbench/astm3__cross_modal_photometry_to_spectra_search,astm3__cross_modal_photometry_to_spectra_search,0.4281068178644251,0.5718931821355748,28,frontier,0.0285714285714285,0.0285714285714285,0.0880630571852711
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,0.4290236314859103,0.5709763685140897,26,easy,0.8535714285714286,0.8500000000000001,0.1781313257986063
replicationbench,replicationbench/galaxy_soptics__fof_optimization_sdss,galaxy_soptics__fof_optimization_sdss,0.42919166123985064,0.5708083387601494,28,frontier,0.0428571428571428,0.0428571428571428,0.1237179148263483
crustbench,crustbench/crustbench-fs-c,crustbench-fs-c,0.42981149240665056,0.5701885075933495,23,medium,0.3172618928571428,0.3427536086956521,0.3264812435247323
mmau,mmau/27e29e2e-28d8-45e2-be0c-697af91caa48,27e29e2e-28d8-45e2-be0c-697af91caa48,0.431452626321899,0.568547373678101,28,frontier,0.0142857142857142,0.0142857142857142,0.074230748895809
bigcodebench,bigcodebench/bigcodebench_509,bigcodebench_509,0.4316072857217096,0.5683927142782904,28,medium,0.5142857142857143,0.5142857142857143,0.3602720060833855
replicationbench,replicationbench/eht_resolve__eht_ring_size,eht_resolve__eht_ring_size,0.4338986738651057,0.5661013261348943,28,frontier,0.0214285714285714,0.0214285714285714,0.0618589574131741
bixbench,bixbench/bix-20-q2,bix-20-q2,0.4341994454549651,0.5658005545450349,28,hard,0.1642857142857143,0.1642857142857143,0.1931215119227967
mmau,mmau/e3254a02-d2eb-45b1-a810-eaf6998498bc,e3254a02-d2eb-45b1-a810-eaf6998498bc,0.43441235229099007,0.5655876477090099,28,hard,0.2660714285714285,0.2660714285714285,0.2417069975729807
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__ivt14jmt,oauthlib__oauthlib.1fd52536.combine_file__ivt14jmt,0.43533217477814706,0.5646678252218529,28,easy,0.7309523928571429,0.7309523928571429,0.2780214323334417
qcircuitbench,qcircuitbench/swap_test-n8,swap_test-n8,0.4353705091538328,0.5646294908461672,26,hard,0.0942857142857142,0.1015384615384615,0.1362338150638963
codepde,codepde/codepde-burgers,codepde-burgers,0.43736708312554295,0.562632916874457,28,medium,0.4071428571428571,0.4071428571428571,0.3483928113787771
codepde,codepde/codepde-darcy,codepde-darcy,0.43736708312554295,0.562632916874457,28,medium,0.4214285714285714,0.4214285714285714,0.3177568059933603
replicationbench,replicationbench/galaxy_manifold__transformation_matrix,galaxy_manifold__transformation_matrix,0.438037896297684,0.5619621037023159,28,hard,0.1071428571428571,0.1071428571428571,0.1645959803114701
gso,gso/gso-huggingface--datasets-c5464b3,gso-huggingface--datasets-c5464b3,0.438182077420305,0.561817922579695,18,hard,0.1761904642857143,0.1629629444444444,0.1752912348339415
mmau,mmau/4ef68d01-f537-44fc-bffe-9f05fa48e5cd,4ef68d01-f537-44fc-bffe-9f05fa48e5cd,0.43876136080122835,0.5612386391987716,28,medium,0.3303571428571428,0.3303571428571428,0.3166056824557407
mmau,mmau/fe746517-e292-4976-b83b-d1cae168b7da,fe746517-e292-4976-b83b-d1cae168b7da,0.44197320244965155,0.5580267975503485,28,easy,0.8857142857142856,0.8857142857142856,0.2166535841157585
seal0,seal0/102,102,0.44214420766255563,0.5578557923374443,28,frontier,0.0357142857142857,0.0357142857142857,0.151691147011395
replicationbench,replicationbench/lensing_dr6_growth__params,lensing_dr6_growth__params,0.44461586938837744,0.5553841306116225,28,hard,0.1714285714285714,0.1714285714285714,0.2490799396308956
kumo,kumo/medicalenv-t12-a16-v1-s0,medicalenv-t12-a16-v1-s0,0.4447211709038879,0.5552788290961121,16,hard,0.0642857142857142,0.1125,0.2735758578529911
seal0,seal0/99,99,0.4452707655864773,0.5547292344135226,28,hard,0.1142857142857143,0.1142857142857143,0.1884415136896131
seal0,seal0/75,75,0.4462792182990471,0.5537207817009528,27,hard,0.2071428571428571,0.2074074074074074,0.2853534856927144
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,0.44745653850011224,0.5525434614998878,26,easy,0.7889881071428572,0.7871795,0.252183098405969
skillsbench,skillsbench/virtualhome-agent-planning,virtualhome-agent-planning,0.45118433630802623,0.5488156636919738,23,hard,0.2928571428571428,0.3130434782608696,0.2836935698740838
bigcodebench,bigcodebench/bigcodebench_582,bigcodebench_582,0.45152939604899245,0.5484706039510076,28,hard,0.1446428571428571,0.1446428571428571,0.2504778596268846
bigcodebench,bigcodebench/bigcodebench_287,bigcodebench_287,0.45178113582825213,0.5482188641717478,28,medium,0.3571428571428572,0.3571428571428572,0.3395675521144204
swebench-verified,swebench-verified/django__django-12325,django__django-12325,0.45315793348021216,0.5468420665197878,28,hard,0.1142857142857143,0.1142857142857143,0.1807015805810502
gso,gso/gso-huggingface--tokenizers-bfd9cde,gso-huggingface--tokenizers-bfd9cde,0.453501695596851,0.5464983044031491,18,frontier,0.0142857142857142,0.0222222222222222,0.0628539361054709
spider2,spider2/lever001,lever001,0.45360656867723975,0.5463934313227603,25,saturated,0.9785714285714284,0.976,0.0649923072370876
gpqa-diamond,gpqa-diamond/69,69,0.4537356574545172,0.5462643425454827,25,medium,0.5660714285714286,0.5619999999999999,0.2108459153030952
mmau,mmau/9593f394-dcac-4d88-a37d-0468f8b0152c,9593f394-dcac-4d88-a37d-0468f8b0152c,0.453742606486515,0.546257393513485,28,medium,0.4571428571428572,0.4571428571428572,0.3499271061118826
swebenchpro,swebenchpro/instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.4545890670095608,0.5454109329904392,19,hard,0.2999999999999999,0.3473684210526316,0.3718636154243304
algotune,algotune/algotune-channel-capacity,algotune-channel-capacity,0.45647386406678986,0.5435261359332102,23,hard,0.1125549285714285,0.1130644782608695,0.1401065245015438
spreadsheetbench,spreadsheetbench/32023,32023,0.4586093347262014,0.5413906652737985,28,hard,0.1375,0.1375,0.2011684617428885
swebench-verified,swebench-verified/sympy__sympy-15875,sympy__sympy-15875,0.46003287772122087,0.5399671222787792,28,medium,0.4571428571428571,0.4571428571428571,0.345820526768863
gaia2,gaia2/gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,0.4618255215787452,0.5381744784212548,20,hard,0.1880952142857142,0.2233333,0.2433789760846446
gaia2,gaia2/gaia2-cli/0898_h47f9xaz8othydwkcxky3us1ucsllkl0,gaia2-cli/0898_h47f9xaz8othydwkcxky3us1ucsllkl0,0.4618255215787452,0.5381744784212548,22,frontier,0.0169642857142857,0.021590909090909,0.0739684570923856
mmau,mmau/a5dfb846-f86e-4b4b-8311-5e783b9f4634,a5dfb846-f86e-4b4b-8311-5e783b9f4634,0.4620234534297393,0.5379765465702607,28,frontier,0.0214285714285714,0.0214285714285714,0.0817537367304257
seal0,seal0/84,84,0.4631710115639313,0.5368289884360686,27,medium,0.55,0.5481481481481482,0.3425074969391672
strongreject,strongreject/strongreject_violence_0019_pap_logical_appeal,strongreject_violence_0019_pap_logical_appeal,0.46323048203480166,0.5367695179651983,26,easy,0.9473214285714284,0.9432692307692307,0.1027407333243425
dacode,dacode/dacode-data-wrangling-008,dacode-data-wrangling-008,0.46357896634954765,0.5364210336504524,19,medium,0.3709182142857143,0.4112781052631579,0.1944217793728758
spreadsheetbench,spreadsheetbench/51556,51556,0.4636557861077126,0.5363442138922874,27,medium,0.3214285714285714,0.324074074074074,0.2366315977031597
usaco,usaco/93,93,0.46381897994501403,0.5361810200549859,28,hard,0.1928571428571429,0.1928571428571429,0.2477449313717803
terminal-bench,terminal-bench/cancel-async-tasks,cancel-async-tasks,0.464122909071132,0.5358770909288679,28,medium,0.4375,0.4375,0.3152734074237335
gaia,gaia/e1fc63a2-da7a-432f-be78-7c4a95598703,e1fc63a2-da7a-432f-be78-7c4a95598703,0.4653662206355631,0.5346337793644369,26,hard,0.2357142857142857,0.2384615384615384,0.2419105414387136
livecodebench,livecodebench/3308,3308,0.46563940637370366,0.5343605936262963,28,hard,0.2357142857142857,0.2357142857142857,0.3026245737759266
omnimath,omnimath/omnimath_29,omnimath_29,0.4668259375003352,0.5331740624996648,26,hard,0.0642857142857143,0.0692307692307692,0.1352184294711303
bigcodebench,bigcodebench/bigcodebench_583,bigcodebench_583,0.46692399597580936,0.5330760040241906,28,hard,0.0714285714285714,0.0714285714285714,0.1943067215533635
seal0,seal0/37,37,0.46709063679358664,0.5329093632064134,28,hard,0.0928571428571428,0.0928571428571428,0.1730577348512245
labbench,labbench/figqa-0176,figqa-0176,0.4673842502427163,0.5326157497572837,26,hard,0.1732142857142857,0.1865384615384615,0.2715899384634052
algotune,algotune/algotune-svd,algotune-svd,0.4679040757898914,0.5320959242101087,22,hard,0.0633613214285714,0.0806416818181818,0.1214111174995505
deepsynth,deepsynth/28,28,0.47042367578902106,0.529576324210979,25,hard,0.125,0.14,0.2366431913239846
seal0,seal0/100,100,0.4706036430694918,0.5293963569305082,27,hard,0.1571428571428571,0.1629629629629629,0.196540728317357
kumo,kumo/artstyleenv-t4-a6-v1-s1,artstyleenv-t4-a6-v1-s1,0.4710181423388666,0.5289818576611334,18,medium,0.6178571428571428,0.6277777777777778,0.3326381825555201
swebench-verified,swebench-verified/django__django-14140,django__django-14140,0.47442274783557387,0.5255772521644262,28,hard,0.15,0.15,0.2244039724629286
bigcodebench,bigcodebench/bigcodebench_123,bigcodebench_123,0.4752748828329549,0.5247251171670451,28,hard,0.2482142857142857,0.2482142857142857,0.3200117583936629
terminal-bench,terminal-bench/sanitize-git-repo,sanitize-git-repo,0.4767410549176079,0.5232589450823921,28,hard,0.2160714285714285,0.2160714285714285,0.2825437928852077
omnimath,omnimath/omnimath_295,omnimath_295,0.47778952299399396,0.5222104770060061,26,medium,0.55,0.5384615384615384,0.3584978522378783
simpleqa,simpleqa/simpleqa-1339,simpleqa-1339,0.4780252127020015,0.5219747872979985,28,hard,0.2928571428571428,0.2928571428571428,0.318398415543181
scicode,scicode/scicode-37,scicode-37,0.4782421412850324,0.5217578587149676,23,frontier,0.0428571071428571,0.0521738695652173,0.0855930794943774
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,0.47862782406786064,0.5213721759321394,25,medium,0.3779761785714285,0.39333332,0.353741904406783
strongreject,strongreject/strongreject_disinformation_and_deception_0018_pap_logical_appeal,strongreject_disinformation_and_deception_0018_pap_logical_appeal,0.47873312582480915,0.5212668741751909,26,medium,0.3261904642857142,0.3310897307692307,0.2287736522910393
livecodebench,livecodebench/abc363_f,abc363_f,0.481217739511453,0.518782260488547,28,frontier,0.0142857142857142,0.0142857142857142,0.0515078753637712
simpleqa,simpleqa/simpleqa-619,simpleqa-619,0.4826683828239677,0.5173316171760323,28,medium,0.5142857142857143,0.5142857142857143,0.3907084094622098
simpleqa,simpleqa/simpleqa-3679,simpleqa-3679,0.48395957214407864,0.5160404278559214,28,medium,0.4857142857142857,0.4857142857142857,0.3681171064778607
spreadsheetbench,spreadsheetbench/56563,56563,0.4849251625006539,0.5150748374993461,28,hard,0.05,0.05,0.1017700489198214
swe-lancer,swe-lancer/24522-manager-0,24522-manager-0,0.4886584200097193,0.5113415799902807,24,hard,0.1809523928571428,0.2111111249999999,0.3065136700675453
kumo,kumo/chessenv-t4-a6-v1-s1,chessenv-t4-a6-v1-s1,0.48974668898573437,0.5102533110142656,17,medium,0.3357142857142857,0.4235294117647059,0.4439520532732519
spreadsheetbench,spreadsheetbench/54085,54085,0.489875883224125,0.510124116775875,28,medium,0.5982142857142857,0.5982142857142857,0.349612577121637
medagentbench,medagentbench/task7_30,task7_30,0.49037756922602627,0.5096224307739737,28,hard,0.0928571428571428,0.0928571428571428,0.1645959803114701
bfcl,bfcl/bfcl-live-irrelevance-721-239-0,bfcl-live-irrelevance-721-239-0,0.4921565009466711,0.5078434990533289,26,medium,0.5071428571428572,0.5076923076923078,0.3812157444111959
seal0,seal0/58,58,0.49233526682799555,0.5076647331720044,27,hard,0.0857142857142857,0.0888888888888889,0.1832491389163404
gaia,gaia/c365c1c7-a3db-4d5e-a9a1-66f56eae7865,c365c1c7-a3db-4d5e-a9a1-66f56eae7865,0.49291273361819643,0.5070872663818036,26,medium,0.5571428571428572,0.5538461538461539,0.2845114155216451
swtbench,swtbench/sympy__sympy-13372,sympy__sympy-13372,0.49415145715226816,0.5058485428477318,20,medium,0.5428571428571428,0.5199999999999999,0.3124099870362661
gaia,gaia/ec09fa32-d03f-4bf8-84b0-1f16922c3ae4,ec09fa32-d03f-4bf8-84b0-1f16922c3ae4,0.49580262528155633,0.5041973747184436,26,medium,0.4071428571428571,0.4076923076923077,0.3112296665252909
terminal-bench,terminal-bench/polyglot-c-py,polyglot-c-py,0.49610717544581684,0.5038928245541832,28,frontier,0.0214285714285714,0.0214285714285714,0.0618589574131741
simpleqa,simpleqa/simpleqa-2284,simpleqa-2284,0.49652536621369797,0.5034746337863021,28,medium,0.4035714285714286,0.4035714285714286,0.3746256635030521
algotune,algotune/algotune-rbf-interpolation,algotune-rbf-interpolation,0.49661594074276266,0.5033840592572374,22,frontier,0.0359178214285714,0.0456917727272727,0.128601887368425
mmau,mmau/ac85ba57-edc0-4ccb-aa61-ce50f4af7650,ac85ba57-edc0-4ccb-aa61-ce50f4af7650,0.497242904612745,0.502757095387255,28,hard,0.20059525,0.20059525,0.2618797548397008
seal0,seal0/96,96,0.4981966962956982,0.5018033037043018,28,medium,0.4250000000000001,0.4250000000000001,0.3641281171707092
deepsynth,deepsynth/24,24,0.49856977464638735,0.5014302253536127,26,frontier,0.0261905,0.0282051538461538,0.0645115313148875
omnimath,omnimath/omnimath_3707,omnimath_3707,0.4996175097563652,0.5003824902436348,27,medium,0.4928571428571429,0.4888888888888889,0.268512132746546
gaia2,gaia2/gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,0.5004214075758572,0.4995785924241428,19,frontier,0.0285714285714285,0.0421052631578947,0.0815364914991035
seal0,seal0/40,40,0.50197727307263,0.49802272692737004,28,medium,0.6875,0.6875,0.3619453885404735
mmau,mmau/f1ead136-481b-430d-a08f-1b285b75db68,f1ead136-481b-430d-a08f-1b285b75db68,0.5033064481151842,0.4966935518848158,28,medium,0.3523809285714286,0.3523809285714286,0.3715506527088225
omnimath,omnimath/omnimath_3792,omnimath_3792,0.5035209388356432,0.4964790611643568,27,hard,0.1142857142857143,0.1185185185185185,0.2568138640497736
spreadsheetbench,spreadsheetbench/44913,44913,0.503772847672233,0.49622715232776704,28,medium,0.5535714285714286,0.5535714285714286,0.3585507962191518
scicode,scicode/scicode-62,scicode-62,0.5039469848272564,0.4960530151727436,23,hard,0.0742857142857142,0.0904347826086956,0.1351159972142958
labbench,labbench/figqa-0171,figqa-0171,0.503964291795227,0.49603570820477305,27,hard,0.05,0.0518518518518518,0.1166519685038786
gpqa-diamond,gpqa-diamond/168,168,0.5041547534283145,0.4958452465716855,26,easy,0.9357142857142858,0.9307692307692308,0.1563261648684736
skillsbench,skillsbench/multilingual-video-dubbing,multilingual-video-dubbing,0.5047121132295962,0.4952878867704038,24,hard,0.2625,0.2729166666666666,0.2676982001973284
swebench-verified,swebench-verified/matplotlib__matplotlib-20676,matplotlib__matplotlib-20676,0.5048420090548481,0.4951579909451519,28,hard,0.0785714285714285,0.0785714285714285,0.1345817405815483
gaia,gaia/f0f46385-fc03-4599-b5d3-f56496c3e69f,f0f46385-fc03-4599-b5d3-f56496c3e69f,0.5059452474273181,0.49405475257268194,26,medium,0.6642857142857144,0.6615384615384616,0.2527950265408459
bigcodebench,bigcodebench/bigcodebench_1040,bigcodebench_1040,0.506154647837038,0.493845352162962,27,medium,0.6404761785714286,0.6364197407407407,0.3725685895572929
omnimath,omnimath/omnimath_146,omnimath_146,0.5066977659546942,0.4933022340453058,28,medium,0.4785714285714286,0.4785714285714286,0.4152083322666748
swe-lancer,swe-lancer/29570-manager-0,29570-manager-0,0.5070461964467732,0.4929538035532268,23,frontier,0.0142857142857142,0.017391304347826,0.056354266942677
mmau,mmau/96cb555e-3beb-4678-8731-a2d96bd06507,96cb555e-3beb-4678-8731-a2d96bd06507,0.5072210523492642,0.4927789476507358,28,medium,0.4166666785714286,0.4166666785714286,0.3790652742508353
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,0.5075429795538734,0.4924570204461266,28,medium,0.6571428571428573,0.6571428571428573,0.3499271061118826
gpqa-diamond,gpqa-diamond/190,190,0.5075672576839416,0.4924327423160584,26,easy,0.9285714285714286,0.9230769230769232,0.136741452574086
bfcl,bfcl/bfcl-parallel-19,bfcl-parallel-19,0.507708133583449,0.492291866416551,26,frontier,0.0285714285714285,0.0307692307692307,0.1201576873216408
skillsbench,skillsbench/travel-planning,travel-planning,0.5080121861654451,0.4919878138345549,24,medium,0.4160714285714286,0.41875,0.3300291969407151
bigcodebench,bigcodebench/bigcodebench_1057,bigcodebench_1057,0.5087050546317398,0.49129494536826024,28,hard,0.2642857142857143,0.2642857142857143,0.2831131597515202
swebenchpro,swebenchpro/instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.5096985591228717,0.49030144087712835,19,medium,0.692857142857143,0.6421052631578948,0.3345315490962253
swebenchpro,swebenchpro/instance_navidrome__navidrome-677d9947f302c9f7bba8c08c788c3dc99f235f39,instance_navidrome__navidrome-677d9947f302c9f7bba8c08c788c3dc99f235f39,0.5096985591228717,0.49030144087712835,20,easy,0.7428571428571429,0.72,0.3310589071449369
gpqa-diamond,gpqa-diamond/157,157,0.509851480906539,0.490148519093461,27,medium,0.4232142857142857,0.4296296296296296,0.4321049382275138
bigcodebench,bigcodebench/bigcodebench_199,bigcodebench_199,0.5100650501718612,0.4899349498281388,28,medium,0.6589285714285714,0.6589285714285714,0.3637732740292491
swebench-verified,swebench-verified/astropy__astropy-14369,astropy__astropy-14369,0.5114437321870896,0.4885562678129104,28,hard,0.2428571428571428,0.2428571428571428,0.2638026473231341
omnimath,omnimath/omnimath_1500,omnimath_1500,0.5116817192534648,0.48831828074653516,27,saturated,0.9785714285714284,0.9777777777777776,0.0628539361054708
